Date,Heure,kWh,AvgTemp,Season,Screens Plug
2019-05-17,07,0.5,9,Spring,No
2019-05-17,08,0.72,10,Spring,No
2019-05-17,09,0.72,11,Spring,No
2019-05-17,10,1.67,14,Spring,No
2019-05-17,11,2.97,14,Spring,No
2019-05-17,12,1.43,15,Spring,No
2019-05-17,13,1.2,14,Spring,No
2019-05-17,14,0.94,12,Spring,No
2019-05-17,15,0.99,10,Spring,No
2019-05-17,16,1.66,9,Spring,No
2019-05-17,17,1.21,8,Spring,No
2019-05-17,18,1.07,8,Spring,No
2019-05-17,19,1.28,8,Spring,No
2019-05-17,20,1.02,8,Spring,No
2019-05-17,21,1.14,8,Spring,No
2019-05-17,22,0.93,8,Spring,No
2019-05-17,23,1.23,8,Spring,No
2019-05-18,00,0.86,8,Spring,No
2019-05-18,01,1.06,8,Spring,No
2019-05-18,02,0.47,7,Spring,No
2019-05-18,03,0.48,8,Spring,No
2019-05-18,04,0.39,8,Spring,No
2019-05-18,05,0.77,8,Spring,No
2019-05-18,06,0.45,8,Spring,No
2019-05-18,07,0.43,8,Spring,No
2019-05-18,08,0.62,9,Spring,No
2019-05-18,09,0.91,10,Spring,No
2019-05-18,10,3.02,11,Spring,No
2019-05-18,11,2.46,12,Spring,No
2019-05-18,12,4.41,12,Spring,No
2019-05-18,13,1.83,13,Spring,No
2019-05-18,14,1.2,13,Spring,No
2019-05-18,15,0.98,13,Spring,No
2019-05-18,16,1.41,14,Spring,No
2019-05-18,17,1.79,13,Spring,No
2019-05-18,18,0.89,11,Spring,No
2019-05-18,19,1.06,11,Spring,No
2019-05-18,20,1.14,10,Spring,No
2019-05-18,21,1.05,9,Spring,No
2019-05-18,22,1.44,9,Spring,No
2019-05-18,23,1.03,9,Spring,No
2019-05-19,00,0.55,8,Spring,No
2019-05-19,01,0.77,9,Spring,No
2019-05-19,02,0.45,8,Spring,No
2019-05-19,03,0.43,8,Spring,No
2019-05-19,04,0.42,8,Spring,No
2019-05-19,05,0.48,9,Spring,No
2019-05-19,06,0.48,9,Spring,No
2019-05-19,07,0.71,9,Spring,No
2019-05-19,08,0.48,10,Spring,No
2019-05-19,09,0.55,10,Spring,No
2019-05-19,10,1.71,12,Spring,No
2019-05-19,11,2.66,12,Spring,No
2019-05-19,12,5.98,12,Spring,No
2019-05-19,13,3.72,12,Spring,No
2019-05-19,14,3.21,12,Spring,No
2019-05-19,15,1.79,11,Spring,No
2019-05-19,16,2.3,11,Spring,No
2019-05-19,17,6.45,11,Spring,No
2019-05-19,18,7.44,10,Spring,No
2019-05-19,19,6,10,Spring,No
2019-05-19,20,3.38,10,Spring,No
2019-05-19,21,1.58,10,Spring,No
2019-05-19,22,1.12,10,Spring,No
2019-05-19,23,1.34,10,Spring,No
2019-05-20,00,1.31,9,Spring,No
2019-05-20,01,0.42,9,Spring,No
2019-05-20,02,0.4,9,Spring,No
2019-05-20,03,0.67,9,Spring,No
2019-05-20,04,0.4,9,Spring,No
